#ID field umap_x umap_y z z_type z_16 z_84 ssfr_50 ssfr_16 ssfr_84 SFR_100_50 SFR_100_16 SFR_100_84 mwa_50 mwa_16 mwa_84 mstar_50 mstar_16 mstar_84 AV_50 AV_16 AV_84
38562 gds -7.085 -2.614 5.3200 phot 4.8980 5.4040 -8.779 -10.375 -8.404 0.298 -1.377 0.925 0.153 0.117 0.216 9.337 9.291 9.390 0.123 0.031 0.257
38613 gds -0.180 -1.435 3.0500 phot 2.8900 3.3470 -8.228 -8.515 -8.027 -0.359 -0.555 -0.218 0.113 0.067 0.224 7.872 7.796 7.980 0.198 0.102 0.295
38851 gds -6.309 -3.182 4.8200 phot 4.6350 4.8420 -7.976 -7.985 -7.957 -0.219 -0.420 0.028 0.005 0.003 0.011 7.857 7.758 8.026 0.194 0.135 0.286
38987 gds -2.778 -4.484 3.8100 phot 3.5670 4.1930 -8.495 -8.654 -8.053 -0.434 -0.562 -0.260 0.208 0.082 0.315 8.086 8.008 8.145 0.094 0.035 0.184
39277 gds -0.607 -1.308 3.3600 phot 3.1540 3.3500 -8.041 -8.200 -7.926 1.027 0.938 1.104 0.073 0.051 0.112 9.087 9.019 9.173 0.526 0.438 0.599
39381 gds -0.239 -1.541 3.0700 phot 2.8600 3.4060 -8.677 -8.873 -8.439 -0.121 -0.241 0.018 0.348 0.203 0.577 8.561 8.454 8.653 0.199 0.116 0.309
39681 gds -3.976 -4.700 3.5600 phot 3.5270 3.6830 -7.944 -8.121 -7.923 0.451 0.106 0.651 0.042 0.019 0.096 8.466 8.344 8.621 0.642 0.512 0.795
40325 gds -6.223 -3.224 4.8200 phot 4.5400 4.8270 -7.938 -8.090 -7.922 0.241 -0.043 0.407 0.041 0.023 0.084 8.239 8.101 8.377 0.159 0.089 0.237
40382 gds -3.371 -0.270 3.1000 phot 3.0060 3.4460 -60.849 -235.391 -15.880 -45.893 -210.790 -4.815 1.652 1.416 1.841 10.733 10.686 10.790 1.229 1.016 1.531
40823 gds -3.488 -0.762 0.8200 phot 0.5590 2.8670 -9.820 -27.954 -9.378 -2.473 -20.492 -2.191 3.453 1.697 5.199 7.394 7.145 7.720 0.838 0.244 1.485
40882 gds -3.172 -4.627 3.7900 phot 3.4460 3.8240 -9.031 -12.686 -8.631 -0.245 -3.522 0.188 0.208 0.155 0.437 8.863 8.805 8.923 0.143 0.040 0.279
41212 gds -0.702 -1.597 3.2600 phot 3.0370 3.4510 -8.706 -8.908 -8.526 -0.128 -0.240 -0.012 0.380 0.247 0.622 8.591 8.506 8.675 0.211 0.123 0.324
41359 gds -6.577 -2.747 5.1400 phot 5.1130 5.2150 -7.942 -8.083 -7.924 0.331 -0.066 0.612 0.029 0.012 0.084 8.360 8.205 8.580 0.388 0.283 0.545
41544 gds -3.371 0.036 5.6000 phot 4.5880 16.0380 -36.245 -136.826 -14.605 -26.057 -141.335 -4.264 0.658 0.518 0.812 10.691 10.602 10.775 2.038 1.799 2.286
